brand,discount,mall,new_price,number_reviews,price,product,shop,tag
Dell,-15%,Non-Mall,"₫23,490,000",No Ratings,"₫27,490,000",Laptop Dell Vostro 5510 15.6 inches FHD (Intel / i5-11300H / 8GB / 512GB SSD / Finger Print / Office HS19 / McAfee MDS / Win 10 Home SL) l Carbon l P106F001 (70253901) l HÀNG CHÍNH HÃNG,Ben Computer Store,Traditional Laptops
Lenovo,-2%,Non-Mall,"₫19,500,000",No Ratings,"₫20,000,000","(NEW SEAL 100%) Lenovo Ideapad Slim 5 15ITL05, Ultrabook Vỏ Nhôm, Màn Cảm Ứng, Có Phím Số, i5-1135G7, RAM 8G, SSD 512G , VGA Intel Iris Xe G7, Màn 15.6 FullHD IPS, Touch",Chuyên laptop gaming- đồ hoạ - văn phòng,Traditional Laptops
Dell,-10%,Mall,"₫20,799,000",No Ratings,"₫22,990,000","Lapptop Dell Vostro 3400 14 inches FHD (Intel / i5-1135G7/ 8GB / 512GB SSD / NVIDIA GeForce MX330, 2GB GDDR5 / OfficeHS19 / Win 10 Home SL) l Black l YX51W3 l HÀNG CHÍNH HÃNG",DELL Official Retail Store,Traditional Laptops
Dell,,Non-Mall,"₫18,500,000",No Ratings,,"Laptop Dell XPS 13 9360, I5 7200U 8G SSD256 QHD 3K TOUCH Đẹp Zin 100% Giá rẻ",Minh Mẫn Laptop,Traditional Laptops
Dell,-9%,Non-Mall,"₫6,850,000",1 Ratings,"₫7,500,000","Laptop máy trạm Dell Precision M4600 Core i7-2720QM, 8gb Ram, 256gb SSD,VGA Quadro 1000M, 15.6inch HD",KHOA TUNG COMPUTER,Gaming Laptops
HP,,Non-Mall,"₫4,000,000",No Ratings,,HP EliteBook 8470P,4lSCzwUg,Traditional Laptops
Dell,-5%,Non-Mall,"₫14,300,000",No Ratings,"₫15,000,000","Dell Latitude 7380, Chuyên Đa Nhiệm, Pin Khỏe, i7-7600U, VGA Intel UHD 620, Màn 13.3 FullHD IPS, 90% sRGB",LaptopLC298,Traditional Laptops
HP,-25%,Non-Mall,"₫18,290,000",No Ratings,"₫24,420,000","[Freeship] Laptop HP Pavilion 15-eg0540TU 4P5G7PA/ Silver / Intel Core i5-1135G7 (up to 4.20 Ghz, 8 MB)/ RAM 8GB DDR4/ 256GB SSD/ 15.6 inch FHD/ Intel UHD Graphics/ WL+BT/ 3 Cell 41 Whrs -AI Tech Store- AI214 Sản phẩm chính hãng",AI Tech Store,Traditional Laptops
Panasonic,,Non-Mall,"₫2,288,000",15 Ratings,,Laptop Panasonic CF-S9 S10 12.5 inch - Core i5 Có HDMI,TheLinhStore,Traditional Laptops
Dell,-12%,Non-Mall,"₫4,850,000",8 Ratings,"₫5,500,000",[Trả góp 0%]Laptop 2 trong 1 kiêm máy tính bảng Dell Venue 11pro 7140 Core M-5Y71 4gb Ram 128gb SSD 11inch Full HD,KHOA DUC COMPUTER,2-in-1s
HP,,Non-Mall,"₫11,500,000",No Ratings,,[HCM][Trả góp 0%]Laptop Hp Workstation 8770W/  i7 3630QM/ 16G/ SSD128+500G/ Vga Quadro K3000M/ Máy Trạm/ 17in/ Giá rẻ,Minh Mẫn Laptop,Traditional Laptops
No Brand,,Non-Mall,"₫1,499,999",12 Ratings,,laptop cũ,Phụ kiện laptopDN,Traditional Laptops
ACER,-6%,Non-Mall,"₫17,000,000",1 Ratings,"₫18,000,000","(NEW 100%) Acer Swift 3 2020 SF314-42, Ultrabook Đa Nhiệm, Lập Trình Siêu Mạnh, Pin Khủng, Ryzen R7-4700U, RAM 8G, SSD 512G, VGA AMD Vega 7, Màn 14 FullHD IPS",Chuyên laptop gaming- đồ hoạ - văn phòng,Traditional Laptops
HP,,Non-Mall,"₫12,990,000",No Ratings,,[Hàng Like New] Laptop HP Pavilion 15-CC137TX Core i5 -8250U/ Ram 8Gb/ SSD 256Gb/ Card đồ họa rời Nvidia GT940MX .,Việt Thanh OneShop,Gaming Laptops
Microsoft,,Non-Mall,"₫3,788,000",No Ratings,,Laptop 2 trong 1 Surface Pro 1 màn 10 inch Full HD - i5 3317U ram 4G SSD 128G,TheLinhStore,2-in-1s
HP,-11%,Non-Mall,"₫8,500,000",No Ratings,"₫9,500,000",Laptop máy trạm chuyên Game đồ họa HP 8560w i7 2720QM 8 nhân Ram 16G SSD 120G + HDD 750G Màn hình 15.6in FHD,PHUGIAPHATCOMPUTER,Traditional Laptops
HP,,Non-Mall,"₫27,900,000",No Ratings,,[HCM][Trả góp 0%]Laptop HP Spectre X360 13-ap0013dx/  i7 8565U/ 8G/ SSD256/ Full HD/ TOUCH/ Xoay 360 độ/ Finer,Minh Mẫn Laptop,Traditional Laptops
Toshiba,-21%,Non-Mall,"₫3,180,000",62 Ratings,"₫4,050,000","[Drain storage 3 days] Toshiba Dynabook R731 (Portege R830) old laptop, laptop i5 strong, old laptop teaching online, laptop school online learning online cheap, ổ new SSD for quick processing speed, weight lighter machine",LAJAPA- Laptop Nhật Bản,Traditional Laptops
HP,-38%,Non-Mall,"₫5,590,000",63 Ratings,"₫9,000,000",[Trả góp 0%]Laptop game và đồ họa giá tốt- HP Pobook 6560B Core i5 2450M/ Ram 16G/ SSD 256G+ HDD 1TB/ VGA HD 3000/ Màn 15.6 inch/ Có Phím Số/ Vỏ nhôm / Dòng máy bền bỉ/ Loa to,LAPTOPGAME,Traditional Laptops
HP,,Mall,"₫18,190,000",No Ratings,,Laptop HP 240 G8 (3D3H7PA) i5-1135G7 | 8GB RAM | 512GB SSD | 14.0 FHD | BẠC | WIN 10,HP Authorized Store 1D,Traditional Laptops
ASUS,-12%,Non-Mall,"₫11,490,000",No Ratings,"₫13,000,000",[Mới 100%] ASUS VivoBook X413JA (I3-1005G1/4GB/128GB SSD/14.0 FHD IPS,LAPTOPGAME,Traditional Laptops
No Brand,-30%,Non-Mall,"₫4,690,000",1 Ratings,"₫6,690,000",Laptop Dell Latitude E6520 Core i5 2520 /4G/ SSD 120G/ VGA HD/Màn 15.6inch - Hàng nhập khẩu,Laptop 86,Traditional Laptops
Dell,-17%,Non-Mall,"₫17,500,000",2 Ratings,"₫21,000,000",[Trả góp 0%]Dell Precision M5510 - tuyệt phẩm đồ họa siêu mỏng nhẹ - dòng siêu cao cấp hạng siêu sang utrabook víp,LAPTOPGAME,Gaming Laptops
OEM,,Non-Mall,"₫6,499,000",No Ratings,,[HCM]Bán Laptop Lenovo ThinkPad X240 siêu mỏng..!,ThànhNhân Computer,Traditional Laptops
HP,-38%,Non-Mall,"₫5,590,000",66 Ratings,"₫9,000,000",[Trả góp 0%]Laptop game+đồ họa -HP 6560B Core i5 2450M/ Ram 16G/ SSD 256G+ HDD 1TB/ Màn 15 inch Vỏ Nhôm) DÒNG MÁY BỀN BỈ CHẠY 24/24,LAPTOPGAME,Gaming Laptops
Dell,,Non-Mall,"₫12,900,000",No Ratings,,DELL XPS 13 9350 Core i7-6600u l i5-6300u l RAM 16GB l SSD 256GB l Màn 13 inch 3K Touch [BẢO HÀNH 3 - 12 THÁNG]  Mới 99%,Kho Macbook,Traditional Laptops
Dell,,Non-Mall,"₫11,490,000",No Ratings,,[Trả góp 0%][ Siêu Khủng ] Dell Gaming 7466 Core i5 6300HQ/ Ram 16Gb/ Card đồ họa rời Nvidia GTX950M mạnh mẽ .,Việt Thanh OneShop,Gaming Laptops
Dell,,Non-Mall,"₫24,000,000",No Ratings,,"Dell XPS 13 9305 (i5-1135G7, RAM 8GB, SSD 256GB, FHD)",ALO,Traditional Laptops
ASUS,,Non-Mall,"₫10,290,000",No Ratings,,"[Siêu Phẩm - Cao Cấp] Laptop Asus Zenbook UX303F Core i5 4210U/ Ram 8Gb/ SSD 512Gb/ siêu mỏng nhẹ , sang choảnh .",Việt Thanh OneShop,Traditional Laptops
Samsung,,Non-Mall,"₫1,988,000",No Ratings,,Laptop 2 trong 1 Samsung XE500 màn 11.6 inch kèm bút - ram 2G 64G,TheLinhStore,2-in-1s
OEM,,Non-Mall,"₫10,499,000",No Ratings,,[HCM]Laptop HP Elitbook 850 G3 Màn 15.6in,ThànhNhân Computer,Traditional Laptops
ACER,-11%,Non-Mall,"₫16,100,000",No Ratings,"₫18,000,000","(NEW 100%) Acer Swift 3 2020 (SF314-42), Ultrabook Đa Nhiệm, Lập Trình Siêu Mạnh, Pin Khủng, Ryzen R7-4700U, VGA AMD Vega 7, Màn 14 FullHD IPS",LaptopLC298,Traditional Laptops
Dell,,Non-Mall,"₫17,990,000",No Ratings,,Dell Inspiron 5402 i5-1135G7/ RAM 8GB/ SSD 512GB/ Intel Iris Xe Graphics/ 14 inch,No.1 Computer,Traditional Laptops
HP,-28%,Non-Mall,"₫6,500,000",No Ratings,"₫8,990,000",Laptop HP Elitebook 840 G3 màn hình 14. bàn phím kế số kế toán,Rẻ Thế À.,Traditional Laptops
Lenovo,-7%,Non-Mall,"₫18,500,000",No Ratings,"₫19,890,000",Laptop Lenovo ThinkBook 15 G2 ITL (20VE006WVN) (i5-1135G7 | 8GB | 512GB SSD | Intel Iris Xe Graphics | 15.6' FHD | DOS),Hangchinhhieu Store,Traditional Laptops
Dell,-27%,Non-Mall,"₫13,800,000",5 Ratings,"₫19,000,000",[Trả góp 0%]Dell 7560 - siêu sang quá đẹp bản víp vga rời Core i7 7500U Core i5 7200Uram 16G ssd 128+hdd 500g VGA GT940MX  Màn 15.6IN FHD tràn Viền 1920*1080 IPS,LAPTOPGAME,Gaming Laptops
Dell,-2%,Non-Mall,"₫19,990,000",No Ratings,"₫20,500,000",[Mới 100%] Dell Inspiron 15 5510 Model 2021 ( CORE I5 11300H – RAM 8GB – SSD 256GB – 15.6INCH ),Thế Giới Số 365,Traditional Laptops
ACER,,Non-Mall,"₫18,900,000",No Ratings,,[HCM][Trả góp 0%]Laptop Gaming Acer Nitro 5 AN515-52 i7 8750HQ 8G SSD128+1000G Vga GTX1050TI 4G Full HD Đèn phím Giá rẻ,Minh Mẫn Laptop,Traditional Laptops
Lenovo,,Non-Mall,"₫5,430,000",11 Ratings,,Laptop Lenovo Thinkpad X240 i5-4300U Màn 12 inch nhỏ gọn siêu bền,Lap top Kiên Long,Traditional Laptops
Dell,-25%,Non-Mall,"₫15,590,000",No Ratings,"₫20,657,000","[Freeship] Laptop Dell Inspiron 3511A 15.6inch FHD (P112F001ABL)/Core i3-1115G4/ RAm 4GB DDR4/ 256GB SSD/ Win 10/ 1Yr/ Black -AI Tech Store- AI97 Hàng Chính Hãng, Thiết Kế Mỏng Nhẹ, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế Đồ Họa, Gaming",AI Tech Store,Traditional Laptops
No Brand,-4%,Non-Mall,"₫6,700,000",2 Ratings,"₫7,000,000","Mini laptop 7 inch compact camera, high profile đủ jewelry work, leisure",GPD VIỆT NAM,Traditional Laptops
Dell,,Non-Mall,"₫18,500,000",No Ratings,,"[Mới 100%] Dell Inspiron 14 5405 ( Ryzen R5-4500U, RAM 8G, SSD 512G, VGA AMD Vega 6, màn 14 Full HD, IPS)",Thế Giới Số 365,Traditional Laptops
Dell,-9%,Non-Mall,"₫8,990,000",No Ratings,"₫9,900,000",LAPTOP DELL LATITUDE E6440 I7 RAM 8G SSD 128G-CẤU HÌNH MẠNH LÀM ĐỒ HỌA TỐT,PHUGIAPHATCOMPUTER,Traditional Laptops
Dell,-8%,Non-Mall,"₫13,800,000",18 Ratings,"₫15,000,000",[Trả góp 0%]laptop gaming Dell 7559 - khủng game Core i5 6300HQram 16g ssd 256+ hdd 1tb VGA GTX 960 4GB 15.6 inch FHD 1920*1080,LAPTOPGAME,Gaming Laptops
Dell,-7%,Non-Mall,"₫9,300,000",3 Ratings,"₫10,000,000",[Trả góp 0%]Laptop máy trạm Dell Precision M4700 Core i7-3740QM / 8gb Ram / 128gb SSD / VGA Quadro K1000M / 15.6 Full HD,KHOA DUC COMPUTER,Gaming Laptops
ASUS,-12%,Non-Mall,"₫19,399,000",No Ratings,"₫22,000,000","(MỚI 100%) Asus Zenbook 14 Q408UG, Lập Trình Đồ Họa Siêu Mạnh, Chip 12 Luồng, Card Rời, Ryzen R5-5500U, RAM 8G, SSD 256G, VGA NVIDIA MX450-2G, Màn 14 FullHD IPS, 100% sRGB",Trí Cường Mobile,Traditional Laptops
Lenovo,-7%,Non-Mall,"₫19,500,000",No Ratings,"₫21,000,000","(NEW SEAL 100%) Lenovo Ideapad Slim 5 15ITL05, Ultrabook Vỏ Nhôm, Màn Cảm Ứng, Có Phím Số, i5-1135G7, RAM 8G, SSD 512G , VGA Intel Iris Xe G7, Màn 15.6 FullHD IPS, Touch",LaptopLC298,Traditional Laptops
Lenovo,-4%,Non-Mall,"₫77,160,000",No Ratings,"₫79,990,000",Laptop Lenovo Legion 7 16ACHG6 (82N60039VN) (R9-5900HX | 32GB | 1TB | VGA RTX 3080 16GB | 16' WQXGA 165Hz | Win 10),Hangchinhhieu Store,Gaming Laptops
Dell,,Non-Mall,"₫15,890,000",No Ratings,,[Siêu Phẩm - Sang Choảnh] Laptop Dell inspiron 7580 Core i5 8365U/ Ram 16Gb/ Card đồ họa rời Nvidia MX150 mạnh mẽ .,Việt Thanh OneShop,Traditional Laptops
No Brand,-36%,Non-Mall,"₫4,490,000",No Ratings,"₫6,990,000",Laptop Dell Latitude E6520 i5/Ram 4G/HDD 250G /VGAHD/ Màn 15.6inch - Tặng Túi + Chuột Không Dây,Laptop 86,Traditional Laptops
Lenovo,,Non-Mall,"₫2,968,000",No Ratings,,Laptop 2 trong 1 Lenovo Miix 2 10 inch WIN 8.1 - SSD 64G Kèm phím zin,TheLinhStore,2-in-1s
Lenovo,,Non-Mall,"₫6,900,000",No Ratings,,LENOVO IDEPAD I2000 CORE I7 5557U RAM 4GB SSHD 500GB 14INCH,Laptop Cường Thịnh,Traditional Laptops
Toshiba,,Non-Mall,"₫3,488,000",1 Ratings,,Laptop Toshiba Portege R731 siêu mỏng nhẹ - i5 2520 Ram 4G SSD 128G,TheLinhStore,Traditional Laptops
HP,,Mall,"₫17,590,000",No Ratings,,Laptop HP 240 G8 (518W3PA) i5-1135G7 | 4GB RAM | 512GB SSD | 14 FHD | Win 10 | Bạc,HP Authorized Store 1D,Traditional Laptops
Dell,-12%,Non-Mall,"₫17,700,000",No Ratings,"₫20,000,000","(NEW 100%) Dell Inspiron 3501, Cảm Ứng, i5-1035G1, RAM 12G, SSD 256G, Intel UHD Graphics, Màn 15.6 Full HD",LaptopLC298,Traditional Laptops
HP,,Non-Mall,"₫2,600,000",No Ratings,,"Laptop HP Intel Pentium 2.1Ghz, Ram 2G, ổ HDD 200G, dùng cho văn phòng, học tập, giải trí, tặng kèm chuột không dây và lót chuột",VSShops,Traditional Laptops
No Brand,,Non-Mall,"₫6,500,000",No Ratings,,HP ELITE X2,linhkien658,Traditional Laptops
Lenovo,-13%,Non-Mall,"₫13,100,000",No Ratings,"₫15,000,000","Lenovo Thinkpad X1 Carbon Gen4, Mỏng Nhẹ, Màn Siêu Nét, Bảo Mật Vân Tay, i5-6300U, RAM 8G, SSD 256G, VGA Intel HD 520, Màn 14 QHD 2.5K IPS",Chuyên laptop gaming- đồ hoạ - văn phòng,Traditional Laptops
Dell E7440,-16%,Non-Mall,"₫6,299,000",No Ratings,"₫7,500,000",Laptop dell 7240 i5 ram 8gb ssd 128gb chơi game và học tập thỏa thích good 100% zin all,Ntech Electronic,2-in-1s
Dell,,Non-Mall,"₫1,289,981",No Ratings,,Laptop giá rẻ. Laptop cũ. laptop DELL Vostro 1400,NamThanhShopTH,Traditional Laptops
ASUS,,Non-Mall,"₫7,990,000",No Ratings,,Laptop Asus X507/ N5000/ 4G/ SSD128 -500G/ 15in/ Viền Mỏng/ Win 10/ Giá rẻ,Minh Mẫn Laptop,Traditional Laptops
Lenovo,-24%,Non-Mall,"₫6,200,000",No Ratings,"₫8,200,000","Laptop Lenovo Thinkpad X250 (i3- 5010U, 8G, 256G, 12.5IN HD)",LAPTOPGAME,Traditional Laptops
Dell,,Non-Mall,"₫4,880,000",No Ratings,,"Laptop Dell Latitude E7240 Chip i3- 4010U, i5- 4200U, ram 8gb/ ssd128  tặng túi đựng, chuột quang, bàn di chuột",NTS Market,Traditional Laptops
ASUS,-3%,Non-Mall,"₫41,590,000",No Ratings,"₫42,990,000",Laptop ASUS ROG Strix G15 G513QM-HQ283T (R9-5900HX | 16GB | 512GB | GeForce RTX™ 3060 6GB | 15.6' WQHD 165Hz | Win 10),Hangchinhhieu Store,Gaming Laptops
Dell,-25%,Non-Mall,"₫20,590,000",No Ratings,"₫27,287,000","[Freeship] Laptop Dell Inspiron 15 3505 15.6inch FHD (Y1N1T5)/ Đen/ AMD Ryzen 5 - 3500U/ RAM 8GB DDR4/ 512GB SSD/ 3Cell/ Win 10/ 1Yr -AI Tech Store- AI96 Hàng Chính Hãng, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế Đồ Họa, Gaming",AI Tech Store,Traditional Laptops
HP,,Non-Mall,"₫13,500,000",No Ratings,,Laptop HP Elitebook 840 G3/ i7 6600U/ Ram 8G/ SSD 256G/ Phiên Bản Giới Hạn/ Cảm ứng Như IPAD/ Đỉnh cao doanh nhân,Minh Mẫn Laptop,2-in-1s
Laptop HP,,Non-Mall,"₫6,880,000",No Ratings,,"Llaptop nhập nguyên chiếc từ Úc]HP Elitebook 8470P/I7/8GB/128GB 95%, máy nguyên bản bao mượt",Mtbstore,Traditional Laptops
Dell,,Non-Mall,"₫5,500,000",No Ratings,,Laptop Dell Latitude E6320/ i5 2520M/ 4 - 16G/ SSD128 - 500G/ 13.3in/ Win 10/ Giá rẻ,Minh Mẫn Laptop,Traditional Laptops
Dell,,Mall,"₫31,990,000",No Ratings,,"Laptop Dell G3 15 i7 10750H/16GB/512GB/6GB GTX1660Ti/15.6""F/Win10/(P89F002BWH)/Trắng",Thế Giới Di Động Official,Gaming Laptops
Lenovo,,Non-Mall,"₫15,890,000",No Ratings,,Lenovo IdeaPad 5 14IIL05 i5-1035G1/ RAM 8GB / SSD 256GB / Intel UHD Graphics/ 14 inch,No.1 Computer,Traditional Laptops
Dell,,Non-Mall,"₫9,890,000",No Ratings,,[Mạnh mẽ - Bền Bỉ] Dell inspiron 5558 Core i5 5200/ Ram 8Gb/ SSD 256Gb/ Màn hình 15.6 inch .,Việt Thanh OneShop,Traditional Laptops
HP,,Non-Mall,"₫17,900,000",No Ratings,,"laptop HP Omen 17, i7 – 6700HQ, 12G, 256G, vga 4G, 17.3in, Full HD, giá rẻ",DMQ Royal,Gaming Laptops
ASUS,-15%,Non-Mall,"₫18,623,000",No Ratings,"₫21,990,000",Laptop Asus TUF Gaming FX506LH-HN002T (i5-10300H) (Xám) - Laptop cũ,PHONG VU Outlet Store,Gaming Laptops
Lenovo,-21%,Non-Mall,"₫15,190,000",No Ratings,"₫19,350,000","[Freeship] Laptop Lenovo Ideapad Slim 3 14ITL6 (82H700DNVN)/ Grey/ Intel Core i3-1115G4 (up to 4.10 Ghz, 6 MB)/ RAM 8GB DDR4/ 512GB SSD/ Intel UHD Graphics/ 14 inch FHD/ 2 Cell/ Win 10H/ 2 Yrs -AI Tech Store- AI142 Hàng Chính Hãng",AI Tech Store,Traditional Laptops
Laptop,-28%,Non-Mall,"₫5,299,000",13 Ratings,"₫7,399,000",[Trả góp 0%]Laptop Asus E402 N3050/2GB/500GB thiết kế nhỏ gọn phù hợp giải trí lướt web 2018 - Bảo hành 12 tháng,Siêu Thị Điện tử Nhập Khẩu Ntech,Gaming Laptops
ACER,-23%,Non-Mall,"₫14,490,000",No Ratings,"₫18,837,000","[Freeship] Laptop Acer Aspire 3 A315-56-502X 15.6inch FHD IPS (NX.HS5SV.00F)/ Core i5-1035G1/ RAM 4 GB DDR4/ 256GB SSD/ 2 Cell/ Win 10H/ Black -AI Tech Store- AI103 Hàng Chính Hãng, Thiết Kế Mỏng Nhẹ, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế",AI Tech Store,Traditional Laptops
Fujitsu,,Non-Mall,"₫5,250,000",No Ratings,,Laptop Nhật Bản FUJITSU Lifebook S904 Core i5-4200U 13.3inch Full HD vỏ nhôm siêu nhẹ 1.1kg,máy tính trung nguyễn,Traditional Laptops
No Brand,-49%,Non-Mall,"₫3,490,000",No Ratings,"₫6,780,000","Thanh lý máy tính laptop dell ram 4gb Ổ cứng SSD win 10 đầy đủ phụ kiện về dùng học online, làm việc, giải trí ok",Kho hàng sỉ Phú Thành,Traditional Laptops
HP,,Non-Mall,"₫13,990,000",No Ratings,,"[Xịn Xò & Sang Trọng] Laptop HP Probook 430 G6 Core i5 8265U/ Ram 8Gb/ SSD 512Gb/ màn hình tràn viền, vân tay 1 chạm .",Việt Thanh OneShop,Traditional Laptops
HP,-14%,Mall,"₫14,590,000",No Ratings,"₫16,990,000",[VOUCHER 1 TRIỆU]Laptop HP Pavilion 15-eg0513TU (46M12PA) i3-1125G4 | 4GB | 256GB | Intel UHD Graphics | 15.6' FHD | Win 10,HCH HP,Traditional Laptops
Dell,-2%,Non-Mall,"₫19,000,000",No Ratings,"₫19,400,000","[Mới 100%] Dell Inspiron 15 5505 ( Ryzen R5-4500U, RAM 16G, SSD 512G, VGA AMD Vega 6, màn 15.6 Full HD, IPS)",Thế Giới Số 365,Traditional Laptops
Samsung,-26%,Non-Mall,"₫3,699,000",No Ratings,"₫4,990,000","Laptop mini Hp , Asus , Acer , Dell , Lenovo , tổng hợp ,  Hơn 1 Triệu ship cod toàn việt Nam",Ntech Electronic,Traditional Laptops
Dell,-31%,Non-Mall,"₫5,490,000",1 Ratings,"₫7,999,000",Laptop Dell Latitude E6520 core i5 RAM 8G HDD 1TB Vga HD Màn 15.6 - Tặng Túi + chuột không Dây,Laptop 86,Traditional Laptops
HP,,Non-Mall,"₫4,000,000",No Ratings,,HP EliteBook 8470P,4lSCzwUg,Traditional Laptops
No Brand,,Non-Mall,"₫1,500,000",7 Ratings,,laptop core 2 giá rẻ phục vụ học online văn phòng giải trí...,h2luan LPC,Traditional Laptops
No Brand,-29%,Non-Mall,"₫215,000",No Ratings,"₫301,000",Thiên Thần Bé Nhỏ Tóc Sữa Quà Lưu Niệm DIY Vật Trang Trí Trẻ Sơ Sinh Tóc Bộ Sưu Tập Lọ Bảo Quản Chai Bé Trăng Tròn Quà Tặng,TAO QinBaoBei,Traditional Laptops
No Brand,-52%,Non-Mall,"₫271,000",No Ratings,"₫568,000",Quà Lưu Niệm Tóc Sữa Trẻ Sơ Sinh DIY Tự Chế Kính Vật Trang Trí Nam Nữ Tóc Bảo Quản Túi Dây Rốn Cho Bé Lọ Bảo Quản Quà Tặng,TAO QinBaoBei,Traditional Laptops
No Brand,,Non-Mall,"₫9,000",No Ratings,,pin 18650 dung lượng 2000- 3000 đã test,Shop Trangtoi,Traditional Laptops
ASUS,-6%,Non-Mall,"₫20,490,000",No Ratings,"₫21,769,000","[Freeship] Laptop ASUS Vivobook Flip 14 TM420IA-EC227T (Ryzen 7 4700/8GB RAM/512GB SSD/AMD Radeon Graphics/ 14 inch FHD/ Touch/ Win 10) -AI Tech Store- AI36 Hàng Chính Hãng, Mỏng Nhẹ, Cấu Hình Ổn Định, Dùng Văn Phòng, Thiết Kế",AI Tech Store,Traditional Laptops
Dell,-25%,Non-Mall,"₫15,590,000",No Ratings,"₫20,657,000","[Freeship] Laptop Dell Inspiron 3511A 15.6inch FHD (P112F001ABL)/Core i3-1115G4/ RAm 4GB DDR4/ 256GB SSD/ Win 10/ 1Yr/ Black -AI Tech Store- AI97 Hàng Chính Hãng, Thiết Kế Mỏng Nhẹ, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế Đồ Họa, Gaming",AI Tech Store,Traditional Laptops
ASUS,-12%,Non-Mall,"₫24,190,000",No Ratings,"₫27,489,000","[Freeship] Laptop Asus ZenBook UX325EA-KG363T (Core i5-1135G7/8GB RAM/512GB SSD/13.3-inch OLED FHD/Win10) -AI Tech Store- AI37 Hàng Chính Hãng, Thiết Kế Mỏng Nhẹ, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế Đồ Họa, Gaming",AI Tech Store,Traditional Laptops
Dell,-2%,Non-Mall,"₫26,500,000",No Ratings,"₫27,000,000",Alenware 17R4 core i7 7820HK ram 16gb SSD 256gbhdd 1tb GTX 1070 8GB 17 inch giá rẻ nguyên zin,Cuong Phat Computer,Traditional Laptops
Dell,-13%,Non-Mall,"₫16,790,000",No Ratings,"₫19,200,000",[Mới 100%] Laptop Dell Inspiron 3515 Ryzen R5-3500U/ Ram 8GB/ SSD 256GB/ MÀN 15.6 FHD IPS Silver,LAPTOPGAME,Traditional Laptops
Dell,,Non-Mall,"₫18,500,000",No Ratings,,"Laptop Dell XPS 13 9360, I5 7200U 8G SSD256 QHD 3K TOUCH Đẹp Zin 100% Giá rẻ",Minh Mẫn Laptop,Traditional Laptops
ASUS,-23%,Non-Mall,"₫15,890,000",No Ratings,"₫20,657,000","[Freeship]Laptop Asus Vivobook A515EA-BQ1532T/ Black/ Intel Core i3-1115G4 (up to 4.1Ghz, 6MB)/ RAM 4GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch FHD/ Win 10/ 2Yrs Chính Hãng, Giá Tốt, Mỏng Nhẹ Cho Văn Phòng",AI Tech Store,Traditional Laptops
OEM,,Non-Mall,"₫5,099,000",2 Ratings,,Máy tính Microsoft surface 3,H2_mobile,Traditional Laptops
Dell,-25%,Non-Mall,"₫20,590,000",No Ratings,"₫27,287,000","[Freeship] Laptop Dell Inspiron 15 3505 15.6inch FHD (Y1N1T5)/ Đen/ AMD Ryzen 5 - 3500U/ RAM 8GB DDR4/ 512GB SSD/ 3Cell/ Win 10/ 1Yr -AI Tech Store- AI96 Hàng Chính Hãng, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế Đồ Họa, Gaming",AI Tech Store,Traditional Laptops
Microsoft,,Non-Mall,"₫9,520,000",No Ratings,,Suface pro3 i5 /8/256,K _ Laptop _ máy tính bảng_ Phụ kiện,Traditional Laptops
Lenovo,-21%,Non-Mall,"₫15,190,000",No Ratings,"₫19,350,000","[Freeship] Laptop Lenovo Ideapad Slim 3 14ITL6 (82H700DNVN)/ Grey/ Intel Core i3-1115G4 (up to 4.10 Ghz, 6 MB)/ RAM 8GB DDR4/ 512GB SSD/ Intel UHD Graphics/ 14 inch FHD/ 2 Cell/ Win 10H/ 2 Yrs -AI Tech Store- AI142 Hàng Chính Hãng",AI Tech Store,Traditional Laptops
No Brand,,Non-Mall,"₫7,250,000",No Ratings,,Laptop dell e7440 cũ,MÁY TÍNH NHẬT ANH,Traditional Laptops
HP,-25%,Non-Mall,"₫18,290,000",No Ratings,"₫24,420,000","[Freeship] Laptop HP Pavilion 15-eg0540TU 4P5G7PA/ Silver / Intel Core i5-1135G7 (up to 4.20 Ghz, 8 MB)/ RAM 8GB DDR4/ 256GB SSD/ 15.6 inch FHD/ Intel UHD Graphics/ WL+BT/ 3 Cell 41 Whrs -AI Tech Store- AI214 Sản phẩm chính hãng",AI Tech Store,Traditional Laptops
ACER,-23%,Non-Mall,"₫14,490,000",No Ratings,"₫18,837,000","[Freeship] Laptop Acer Aspire 3 A315-56-502X 15.6inch FHD IPS (NX.HS5SV.00F)/ Core i5-1035G1/ RAM 4 GB DDR4/ 256GB SSD/ 2 Cell/ Win 10H/ Black -AI Tech Store- AI103 Hàng Chính Hãng, Thiết Kế Mỏng Nhẹ, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế",AI Tech Store,Traditional Laptops
